Date ,Close 
20-Jul-11,19.11
21-Jul-11,18.75
22-Jul-11,17.91
25-Jul-11,19.2
26-Jul-11,19.3
27-Jul-11,18.25
28-Jul-11,18.51
29-Jul-11,19.77
01-Aug-11,18.78
02-Aug-11,19.15
03-Aug-11,19.48
04-Aug-11,20.22
05-Aug-11,24.9
08-Aug-11,28.78
09-Aug-11,34.88
10-Aug-11,28.95
11-Aug-11,29.09
12-Aug-11,27.02
16-Aug-11,26.46
17-Aug-11,25.48
18-Aug-11,27.45
19-Aug-11,29.19
22-Aug-11,27.08
23-Aug-11,25.92
24-Aug-11,28.6
25-Aug-11,27.94
26-Aug-11,33.26
29-Aug-11,26.07
30-Aug-11,24.88
02-Sep-11,26.09
05-Sep-11,27.83
06-Sep-11,28.66
07-Sep-11,27.86
08-Sep-11,27.64
09-Sep-11,28.15
12-Sep-11,32.75
13-Sep-11,32.77
14-Sep-11,32.45
15-Sep-11,30.79
16-Sep-11,28.45
19-Sep-11,29.6
20-Sep-11,27.25
21-Sep-11,27.67
22-Sep-11,33.88
23-Sep-11,35.16
26-Sep-11,35.43
27-Sep-11,32.01
28-Sep-11,32
29-Sep-11,31.07
30-Sep-11,31.94
03-Oct-11,35.07
04-Oct-11,37.19
05-Oct-11,35.37
07-Oct-11,33.02
10-Oct-11,30.03
11-Oct-11,30.3
12-Oct-11,28.41
13-Oct-11,28.24
14-Oct-11,25.98
17-Oct-11,25.43
18-Oct-11,25.9
19-Oct-11,24.05
20-Oct-11,25.6
21-Oct-11,26.3
24-Oct-11,25.22
25-Oct-11,22.31
26-Oct-11,22.69
28-Oct-11,20.89
31-Oct-11,22.66
01-Nov-11,24.02
02-Nov-11,24.89
03-Nov-11,24.66
04-Nov-11,23.43
08-Nov-11,23.71
09-Nov-11,24.3
11-Nov-11,24.74
14-Nov-11,25.29
15-Nov-11,25.97
16-Nov-11,25.04
17-Nov-11,26.92
18-Nov-11,26.58
21-Nov-11,28.61
22-Nov-11,27.35
23-Nov-11,30.68
24-Nov-11,27.95
25-Nov-11,29.12
28-Nov-11,26.64
29-Nov-11,26.87
30-Nov-11,26.55
01-Dec-11,25.02
02-Dec-11,23.99
05-Dec-11,25.02
07-Dec-11,26.46
08-Dec-11,28.58
09-Dec-11,29.53
12-Dec-11,29.27
13-Dec-11,28.11
14-Dec-11,28.79
15-Dec-11,28.81
16-Dec-11,29.69
19-Dec-11,30.58
20-Dec-11,30.53
21-Dec-11,27.53
22-Dec-11,26.84
23-Dec-11,27.39
26-Dec-11,26.6
27-Dec-11,26.29
28-Dec-11,26.74
29-Dec-11,26.62
30-Dec-11,27.11
10-Jan-12,24
11-Jan-12,24.54
12-Jan-12,24.03
13-Jan-12,23.48
16-Jan-12,24.07
17-Jan-12,22.61
18-Jan-12,22.68
19-Jan-12,21.68
20-Jan-12,21.96
23-Jan-12,22.14
24-Jan-12,21.42
25-Jan-12,21.02
27-Jan-12,21.7
30-Jan-12,23.46
31-Jan-12,22.66
01-Feb-12,22.89
02-Feb-12,23.69
03-Feb-12,24.09
06-Feb-12,24.62
07-Feb-12,24.91
08-Feb-12,24.27
09-Feb-12,23.3
10-Feb-12,23.83
13-Feb-12,23.71
14-Feb-12,22.71
15-Feb-12,22.1
16-Feb-12,23.33
17-Feb-12,24.18
21-Feb-12,26.25
22-Feb-12,26.8
23-Feb-12,24.33
24-Feb-12,24.82
27-Feb-12,27.38
28-Feb-12,25.85
29-Feb-12,26.93
01-Mar-12,27.67
02-Mar-12,27.84
03-Mar-12,28.2
05-Mar-12,28.92
06-Mar-12,27.34
07-Mar-12,26.33
09-Mar-12,25.47
12-Mar-12,26.27
13-Mar-12,24.75
14-Mar-12,24.72
15-Mar-12,25.42
16-Mar-12,23.13
19-Mar-12,22.97
20-Mar-12,21.94
21-Mar-12,21
22-Mar-12,24.77
23-Mar-12,23.34
26-Mar-12,26.74
27-Mar-12,25.05
28-Mar-12,24.87
29-Mar-12,24.33
30-Mar-12,22.38
02-Apr-12,20.88
03-Apr-12,20.01
04-Apr-12,20.63
09-Apr-12,22.33
10-Apr-12,21.92
11-Apr-12,22.29
12-Apr-12,21.78
13-Apr-12,22.75
16-Apr-12,22.23
17-Apr-12,20.31
18-Apr-12,20.03
19-Apr-12,19.35
20-Apr-12,20.09
23-Apr-12,21.57
24-Apr-12,19.25
25-Apr-12,18.94
26-Apr-12,18.74
27-Apr-12,17.89
28-Apr-12,17.61
30-Apr-12,17.82
02-May-12,18.54
03-May-12,19.25
04-May-12,21.12
07-May-12,20.22
08-May-12,22.16
09-May-12,23.04
10-May-12,22.72
11-May-12,22.48
14-May-12,23.26
15-May-12,22.28
16-May-12,23.71
17-May-12,23.59
18-May-12,23.55
21-May-12,23.92
22-May-12,24.39
23-May-12,27.13
24-May-12,25.49
25-May-12,25.14
28-May-12,23.68
29-May-12,24.03
30-May-12,25.3
31-May-12,25.25
01-Jun-12,26.77
04-Jun-12,25.6
05-Jun-12,26.26
06-Jun-12,24.9
07-Jun-12,23.64
08-Jun-12,23.47
11-Jun-12,25.02
12-Jun-12,24.2
13-Jun-12,24.36
14-Jun-12,25.71
15-Jun-12,25.54
18-Jun-12,22.6
19-Jun-12,21.43
